freq	dB(S(1,1))
1.44999999999999996E9	-3.24484837683664873E0
1.45999999999999996E9	-3.26826556046355776E0
1.46999999999999997E9	-3.29281712114308567E0
1.47999999999999998E9	-3.31853522921421229E0
1.48999999999999999E9	-3.34545347362288048E0
1.50000000000000000E9	-3.37360691164759707E0
1.51000000000000001E9	-3.40303211979217091E0
1.52000000000000002E9	-3.43376724578224701E0
1.53000000000000003E9	-3.46585206158754922E0
1.54000000000000004E9	-3.49932801737625176E0
1.55000000000000004E9	-3.53423829629722119E0
1.56000000000000005E9	-3.57062786996482595E0
1.56999999999999984E9	-3.60854355450691955E0
1.58000000000000007E9	-3.64803406701809818E0
1.59000000000000008E9	-3.68915008224163055E0
1.60000000000000009E9	-3.73194428928289135E0
1.61000000000000010E9	-3.77647144814003743E0
1.61999999999999988E9	-3.82278844581504229E0
1.63000000000000012E9	-3.87095435174991653E0
1.63999999999999990E9	-3.92103047231385915E0
1.64999999999999991E9	-3.97308040404752028E0
1.66000000000000014E9	-4.02717008535507226E0
1.66999999999999993E9	-4.08336784631964456E0
1.68000000000000016E9	-4.14174445630608368E0
1.68999999999999995E9	-4.20237316900609414E0
1.69999999999999996E9	-4.26532976458019419E0
1.71000000000000019E9	-4.33069258854874928E0
1.71999999999999997E9	-4.39854258710066937E0
1.72999999999999998E9	-4.46896333849879213E0
1.73999999999999977E9	-4.54204108029582887E0
1.75000000000000000E9	-4.61786473210950454E0
1.76000000000000023E9	-4.69652591376166839E0
1.77000000000000002E9	-4.77811895865304503E0
1.78000000000000003E9	-4.86274092233145971E0
1.78999999999999981E9	-4.95049158631758957E0
1.80000000000000004E9	-5.04147345737922592E0
1.81000000000000005E9	-5.13579176259678771E0
1.81999999999999984E9	-5.23355444074091736E0
1.83000000000000007E9	-5.33487213069194333E0
1.83999999999999986E9	-5.43985815786905658E0
1.85000000000000009E9	-5.54862851990959083E0
1.86000000000000010E9	-5.66130187315127298E0
1.86999999999999988E9	-5.77799952181580334E0
1.88000000000000012E9	-5.89884541218397906E0
1.88999999999999990E9	-6.02396613448448015E0
1.89999999999999991E9	-6.15349093569902994E0
1.91000000000000014E9	-6.28755174701033592E0
1.91999999999999993E9	-6.42628323020083680E0
1.93000000000000016E9	-6.56982284793723892E0
1.93999999999999995E9	-6.71831096356464652E0
1.94999999999999996E9	-6.87189097678200334E0
1.96000000000000019E9	-7.03070950238311632E0
1.96999999999999997E9	-7.19491660013279954E0
1.97999999999999998E9	-7.36466606481297958E0
1.98999999999999977E9	-7.54011578653427694E0
2.00000000000000000E9	-7.72142819256795221E0
2.01000000000000023E9	-7.90877078324628435E0
2.02000000000000002E9	-8.10231677591976052E0
2.03000000000000025E9	-8.30224587257860591E0
2.04000000000000004E9	-8.50874516859540009E0
2.04999999999999982E9	-8.72201022216308530E0
2.06000000000000005E9	-8.94224630646518115E0
2.06999999999999984E9	-9.16966986950260043E0
2.08000000000000007E9	-9.40451022991400798E0
2.08999999999999986E9	-9.64701154120998616E0
2.10000000000000009E9	-9.89743506174927568E0
2.11000000000000032E9	-1.01560617737381254E1
2.12000000000000011E9	-1.04231954018035289E1
2.12999999999999989E9	-1.06991658906030351E1
2.13999999999999968E9	-1.09843334119504754E1
2.14999999999999991E9	-1.12790929855779254E1
2.16000000000000014E9	-1.15838798146757349E1
2.16999999999999993E9	-1.18991754586418308E1
2.18000000000000016E9	-1.22255149922465556E1
2.18999999999999995E9	-1.25634953342355837E1
2.20000000000000018E9	-1.29137849712893282E1
2.20999999999999996E9	-1.32771353579079343E1
2.21999999999999975E9	-1.36543943427420977E1
2.22999999999999998E9	-1.40465220617745268E1
2.23999999999999977E9	-1.44546098547358448E1
2.25000000000000000E9	-1.48799029112532666E1
2.26000000000000023E9	-1.53238275479834529E1
2.27000000000000002E9	-1.57880242707507512E1
2.28000000000000025E9	-1.62743881029729343E1
2.29000000000000004E9	-1.67851180822110768E1
2.29999999999999982E9	-1.73227783583225059E1
2.31000000000000005E9	-1.78903739766348613E1
2.31999999999999984E9	-1.84914451697494120E1
2.33000000000000007E9	-1.91301846881199578E1
2.33999999999999986E9	-1.98115830064959542E1
2.35000000000000009E9	-2.05416051885053141E1
2.36000000000000032E9	-2.13273983500373188E1
2.37000000000000011E9	-2.21775139813381372E1
2.37999999999999989E9	-2.31020896686983068E1
2.38999999999999968E9	-2.41128312864018612E1
2.39999999999999991E9	-2.52223695658400482E1
2.41000000000000014E9	-2.64418764974989262E1
2.41999999999999993E9	-2.77740879040297539E1
2.43000000000000016E9	-2.91948837060648936E1
2.43999999999999995E9	-3.06105050777325438E1
2.45000000000000018E9	-3.17869763697419971E1
2.45999999999999996E9	-3.23440722240422796E1
2.46999999999999975E9	-3.20244810262627189E1
2.47999999999999998E9	-3.10005796566403369E1
2.48999999999999977E9	-2.96599517616130903E1
2.50000000000000000E9	-2.82760532309593904E1
2.51000000000000023E9	-2.69679844412161751E1
2.52000000000000002E9	-2.57708141962127435E1
2.53000000000000025E9	-2.46857147662839127E1
2.54000000000000004E9	-2.37026015087159214E1
2.54999999999999982E9	-2.28089034349023834E1
2.56000000000000005E9	-2.19926429508325683E1
2.56999999999999984E9	-2.12433374373369999E1
2.58000000000000007E9	-2.05521062808416621E1
2.58999999999999986E9	-1.99115143812561390E1
2.60000000000000009E9	-1.93153517285595244E1
2.61000000000000032E9	-1.87584202321081461E1
2.62000000000000011E9	-1.82363495142130594E1
2.62999999999999989E9	-1.77454448578355573E1
2.63999999999999968E9	-1.72825641536044183E1
2.64999999999999991E9	-1.68450190690646950E1
2.66000000000000014E9	-1.64304957769930615E1
2.66999999999999993E9	-1.60369912401037173E1
2.68000000000000016E9	-1.56627617976056310E1
2.68999999999999995E9	-1.53062814735587138E1
2.70000000000000018E9	-1.49662079852502150E1
2.70999999999999996E9	-1.46413548740488930E1
2.71999999999999975E9	-1.43306685279811163E1
2.72999999999999998E9	-1.40332091335972020E1
2.73999999999999977E9	-1.37481348016615934E1
2.75000000000000000E9	-1.34746882708843185E1
2.76000000000000023E9	-1.32121857174261703E1
2.77000000000000002E9	-1.29600072937590971E1
2.78000000000000025E9	-1.27175890952246173E1
2.79000000000000004E9	-1.24844163111805351E1
2.79999999999999982E9	-1.22600173637586485E1
2.81000000000000005E9	-1.20439588737691627E1
2.81999999999999984E9	-1.18358413223605208E1
2.83000000000000007E9	-1.16352953003044446E1
2.83999999999999986E9	-1.14419782554896199E1
2.85000000000000009E9	-1.12555716643458226E1
2.86000000000000032E9	-1.10757785652126839E1
2.87000000000000011E9	-1.09023214017178049E1
2.87999999999999989E9	-1.07349401324686777E1
2.88999999999999968E9	-1.05733905701599129E1
2.89999999999999991E9	-1.04174429188233009E1
2.91000000000000014E9	-1.02668804826277005E1
2.91999999999999993E9	-1.01214985235451649E1
2.93000000000000016E9	-9.98110324847333175E0
2.93999999999999995E9	-9.84551090916244753E0
2.95000000000000018E9	-9.71454700062412968E0
2.95999999999999996E9	-9.58804554567069545E0
2.96999999999999975E9	-9.46584845491344140E0
2.97999999999999998E9	-9.34780495297673397E0
2.98999999999999977E9	-9.23377106291094307E0
3.00000000000000000E9	-9.12360914183449623E0
3.01000000000000023E9	-9.01718746174136854E0
3.02000000000000002E9	-8.91437983018032831E0
3.03000000000000025E9	-8.81506524619496545E0
3.04000000000000004E9	-8.71912758748521100E0
3.04999999999999982E9	-8.62645532525894332E0
3.06000000000000005E9	-8.53694126368166017E0
3.06999999999999984E9	-8.45048230121005339E0
3.08000000000000007E9	-8.36697921142751433E0
3.08999999999999986E9	-8.28633644129125813E0
3.10000000000000009E9	-8.20846192495086768E0
3.11000000000000032E9	-8.13326691151907788E0
3.12000000000000011E9	-8.06066580537008015E0
3.12999999999999989E9	-7.99057601770977843E0
3.13999999999999968E9	-7.92291782830765179E0
3.14999999999999991E9	-7.85761425641454547E0
3.16000000000000014E9	-7.79459093999933827E0
3.16999999999999993E9	-7.73377602254214125E0
3.18000000000000016E9	-7.67510004670703694E0
3.18999999999999995E9	-7.61849585429158704E0
3.20000000000000018E9	-7.56389849192603592E0
3.20999999999999996E9	-7.51124512204473849E0
3.22000000000000020E9	-7.46047493871162892E0
3.22999999999999954E9	-7.41152908792462650E0
3.23999999999999977E9	-7.36435059206435660E0
3.25000000000000000E9	-7.31888427818738130E0
3.26000000000000023E9	-7.27507670989687494E0
3.27000000000000046E9	-7.23287612255014523E0
3.27999999999999980E9	-7.19223236158507895E0
3.29000000000000004E9	-7.15309682377227052E0
3.29999999999999982E9	-7.11542240121292302E0
3.31000000000000005E9	-7.07916342792452191E0
3.32000000000000028E9	-7.04427562886798597E0
3.32999999999999963E9	-7.01071607127960483E0
3.33999999999999986E9	-6.97844311819042584E0
3.35000000000000009E9	-6.94741638401539774E0
3.36000000000000032E9	-6.91759669211268680E0
3.37000000000000011E9	-6.88894603421360507E0
3.37999999999999989E9	-6.86142753163520958E0
3.38999999999999968E9	-6.83500539819272479E0
3.39999999999999991E9	-6.80964490473051320E0
3.41000000000000014E9	-6.78531234520293847E0
3.42000000000000037E9	-6.76197500422959319E0
3.42999999999999972E9	-6.73960112606416040E0
3.43999999999999995E9	-6.71815988491374760E0
3.45000000000000018E9	-6.69762135654499691E0


freq	dB(S(2,2))
1.44999999999999996E9	-3.24484837683664695E0
1.45999999999999996E9	-3.26826556046355510E0
